smiles,pubchem_compound_id,pubchem_substance_id,pubchem_parent_compound_id,name,pubchem_name
O=[N+]([O-])c1ccc(Nc2ccccc2-c2ccccc2)c2nonc12,2836600.0,,2836600.0,10074-G5,"4-nitro-N-(2-phenylphenyl)-2,1,3-benzoxadiazol-7-amine"
,138686260.0,,,1074,"US10544143, Example 1074"
,26570.0,,,1092,Oms 1092
,16156783.0,,,1240,"11,40-Diazatetratriacontacyclo[18.13.13.1240,41.74,12.617,44.219,46.228,45.114,25.130,43.05,10.016,24.018,23.022,27.032,42.034,39.111,67.013,65.015,64.021,50.026,73.029,74.031,75.033,77.047,52.048,55.049,57.051,58.053,59.054,62.056,63.060,68.061,66.070,72.071,76]octaheptaconta-1(33),2,4(77),5,7,9,12(71),13(65),14(70),15,17(56),18,20(46),21,23,25,27,29(74),30(57),31,34,36,38,41(58),42,44,47,49,51,53(59),54,60(68),61,63,66,72,75-heptatriacontaene-69,78-dione"
CCCCC/C=C/C=C1/C(=O)C=C[C@@H]1C/C=C\CCCC(=O)O,5311211.0,,5311211.0,15D-PGJ2,"15-Deoxy-delta12,14-prostaglandin"
,,,,16-BETA-BROMOANDROSTERONE,
,,,,16-beta-bromoandrosterone,
CCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,11750009.0,,11750009.0,17 alpha-propionate,Clascoterone
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,6505803.0,,6505803.0,17-AAG,Tanespimycin
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,6505803.0,,6505803.0,17-AAG (Tanespimycin),Tanespimycin
CCC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(=O)CC)CC[C@@H]12,8225.0,,8225.0,"17-Beta-Estradiol-3,17-Dipropionate",Estradiol Dipropionate
CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,5288674.0,,5288674.0,17-DMAG,Alvespimycin
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,6010.0,,6010.0,17-Methyltestosterone,Methyltestosterone
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,6505803.0,,6505803.0,17AAG,Tanespimycin
,1750826.0,275361737.0,,"1S,3R-RSL-3","methyl (1S,3R)-2-(2-chloroacetyl)-1-(4-methoxycarbonylphenyl)-1,3,4,9-tetrahydropyrido[3,4-b]indole-3-carboxylate"
O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,13712.0,,13712.0,2'-Deoxyuridine,Deoxyuridine
,,,,"2,4-dideoxy-DC-45-A2",
Nc1ccccc1S(N)(=O)=O,72894.0,,72894.0,2-Aminobenzenesulfonamide,2-Aminobenzenesulfonamide
NCCS,6058.0,,6058.0,2-Aminoethanethiol,Cysteamine
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,8975.0,,8975.0,2-Fluoroadenosine,2-Fluoroadenosine
O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,3896.0,,3896.0,"2-Hydroxy-5-(2,5-dihydroxybenzylamino)benzoic acid",Lavendustin C
C[n+]1ccccc1/C=N/O.Cl,135705239.0,,135398747.0,2-Pyridinealdoxime methochloride,2-Pyridinealdoxime methochloride
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,66414.0,,66414.0,2-methoxyestradiol,2-Methoxyestradiol
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,66414.0,,66414.0,2-methoxyestradiol ,2-Methoxyestradiol
,53469860.0,,53389303.0,2104,"18a,21a,22,25,50a,53a,54,57,86,89-Decaoxa-2a,5a,6,9,12a,15a,16,19,24a,28,31,38,41,47a,48,51,56a,60,62a,63,63a,66a,67a,70,70a,73,78a,79a,83,92-triacontazahenicosacyclo[156.2.2.24,7.28,11.214,17.230,33.236,39.240,43.246,49.262,65.268,71.272,75.278,81.294,97.2100,103.2104,107.2110,113.2126,129.2132,135.2136,139.2142,145]dicta-a(1a),b(99a),1(61a),2a(3a),4,4a(5a),6,6a(7a),8,10,10a(11a),12a(13a),14,14a(15a),16,18,24a(25a),26a(70a),27a(28a),28,29a(69a),30,32,32a(68a),33a(34a),35a(67a),36,36a(66a),37a(38a),38,39a(65a),40,42,42a(64a),43a(44a),45a(63a),46,46a(47a),48,50,56a(57a),58a(62a),59a(60a),60,62,64,68,70,71a(72a),72,73a(74a),74,75a(76a),77a(97),78(80a),78a(94),79,79a(81),81a(82a),82,83a(84a),85a(86a),87a(88a),89a(90a),91a(92a),92,93a(94a),95,95a(96a),97a(98a)-heptacontaene;pentakis(iron(2+))"
,2150.0,,,2150,Aminomethylenecarbonylaminodi(ethyloxy)ethylaminocarbonylbenzenesulfonamide
,,7885162.0,,2DG,2-DEOXY-BETA-D-GALACTOSE
,,,,2nd Precursur Intermediate to TDP 665759,
NC(=S)N/N=C/c1ncccc1N,9571836.0,,9571836.0,3-AP,Triapine
O=C(O)C(=O)CBr,70684.0,,70684.0,3-Bromopyruvic acid,Bromopyruvic Acid
O=C(O)/C=C/c1ccc(-c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)c(Cl)c1,9866186.0,,9866186.0,3-Cl-AHPC,3-Cl-AHPC
Cn1cnc(=N)c2[nH]cnc21,135398661.0,,135398661.0,3-MA,3-Methyladenine
Cn1cnc(=N)c2[nH]cnc21,135398661.0,,135398661.0,3-Methyladenine,3-Methyladenine
N[C@@H](CCl)C(=O)O,439772.0,,439772.0,3-chloro-L-alanine,3-chloro-L-alanine
Cc1c(N)c(=O)n(-c2ccccc2)n1C,2151.0,,2151.0,4-Aminoantipyrine,4-Aminoantipyrine
Nc1ccncc1,1727.0,,1727.0,4-Aminopyridine,4-Aminopyridine
O=C(O)Cc1ccc(-c2ccccc2)cc1,3332.0,,3332.0,4-Biphenylacetic acid,Felbinac
Cc1c(O)c(=O)n(-c2ccccc2)n1C,98889.0,,98889.0,4-Hydroxyantipyrine,4-Hydroxyantipyrine
Cc1cn[nH]c1,3406.0,,3406.0,4-Methylpyrazole,4-Methylpyrazole
Cc1cc(=O)oc2cc(O)ccc12,5280567.0,,5280567.0,4-Methylumbelliferone (4-MU),4-Methylumbelliferone
CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,449459.0,,449459.0,4-hydroxytamoxifen,4-Hydroxytamoxifen
,,,,4-methylfasudil,
O=C(O)/C(Cc1ccccc1[N+](=O)[O-])=N/Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,5717952.0,,5717952.0,4EGI-1,"(2E)-2-[[4-(3,4-dichlorophenyl)-1,3-thiazol-2-yl]hydrazinylidene]-3-(2-nitrophenyl)propanoic acid"
Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1,15985904.0,,15985904.0,4SC-202 ,Domatinostat
,3165.0,,,"5,6-dichloro-1-?-D-ribofuranosylbenzimidazole","5,6-Dichloro-1-beta-D-ribofuranosylbenzimidazole"
CC(=O)c1ccc(O)c(C(=O)O)c1,83151.0,,83151.0,5-Acetylsalicylic acid,5-Acetylsalicylic acid
Cl.NCC(=O)CCC(=O)O,123608.0,,137.0,5-Aminolevulinic acid hydrochloride,Aminolevulinic Acid Hydrochloride
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,9444.0,,9444.0,5-Azacitidine,Azacytidine
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,9444.0,,9444.0,5-Azacytidine,Azacytidine
O=c1[nH]cc(F)c(=O)[nH]1,3385.0,,3385.0,5-FLUOROURACIL,5-Fluorouracil
O=c1[nH]cc(F)c(=O)[nH]1,3385.0,,3385.0,5-FU,5-Fluorouracil
O=c1[nH]cc(F)c(=O)[nH]1,3385.0,,3385.0,5-Fluorouracil,5-Fluorouracil
CCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1.O=C(O)C(=O)O,10126593.0,,1797.0,5-Nonyloxytryptamine oxalate,5-Nonyloxytryptamine oxalate
O=c1[nH]cc(F)c(=O)[nH]1,3385.0,,3385.0,5-fu,5-Fluorouracil
